company_name,profile_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
CodeHub.vn,https://e27.co/startups/codehub-vn/,https://www.codehub.vn,Vietnam,Education,2013-10-01,,,,contact@codehub.vn,,Help Vietnamese students to learn code online,
My Computer Gaming Chair,https://e27.co/startups/my-computer-gaming-chair/,http://mycomputergamingchair.com,United States of America,"Entertainment, Gaming, Information & Communications Technology",2015-07-01,My Computer Gaming Chair,,"https://twitter.com/mcgc8, https://www.facebook.com/mycomputergamingchair",mycomputergamingchair@gmail.com,,My Computer Gaming Chair is the ultimate go-to resource for computer gaming chairs and other gaming paraphernalia. You can find all the up-to-date information on gaming here. ,"MyComputerGamingChair.com is a website for gamers made by a gamer who knows how important comfort is during long gaming sessions.

MyComputerGamingChair.com is all about computer gaming chairs! They provide the most detailed PC gaming chair reviews.

MyComputerGamingChair.com is borne out of its owner's lumbar scoliosis. Being a gamer himself, he needs a gaming chair that supports not only the back but the neck area as well. He started reviewing gaming chairs since then, hoping that his words will help other gamers from all over the world. Such nobility."
ImageCrowd,https://e27.co/startups/imagecrowd/,http://www.imagecrowd.com,Singapore,"Advertising, Mobile, Information & Communications Technology",2015-05-01,Gijs Waverijn 海狮,,"https://www.linkedin.com/company/10259561?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10259561%2Cidx%3A1-1-1%2CtarId%3A1448858588327%2Ctas%3AImageCrowd, https://www.facebook.com/imagecrowdasia",gijs.waverijn@imagecrowd.com,,ImageCrowd is an online marketplace connecting advertising agencies and brands to crowdsourced Asian photography.,"ImageCrowd is an online marketplace connecting advertising agencies and brands to crowdsourced Asian photography. 

ImageCrowd is a Crowdsourced Asian Photography. It connects brands to real customers. It connects agencies to photography communities, also connects photographers across the borders."
Cainiao,https://e27.co/startups/cainiao/,http://www.alibaba.com/,China,Logistics/Supply Chain,,,,https://twitter.com/AlibabaGroup,startups@e27.co,,Cainiao is committed to taking logistics services to the next level by working with partners to enhance efficiency.,Cainiao is committed to taking logistics services to the next level by working with partners to enhance efficiency.
NotifyVisitors,https://e27.co/startups/notifyvisitors/,https://www.notifyvisitors.com,India,,,,,,nvsocial@notifyvisitors.com,,"NotifyVisitors is the simplest marketing automation software to send personalized push notifications and messages to customers. NotifyVisitors provide integration with multiple platforms
",
TIQ Group,https://e27.co/startups/tiq-group/,http://www.tiqgroup.com,Singapore,,2017-10-01,Caoimhe (Keva) Duggan,,"https://www.linkedin.com/company/tiq-group/, https://www.facebook.com/tiqgroup/",caoimhe.duggan@tiqgroup.com,,The world's first automated mobile micro learning platform dedicated to support staff,"People are our most valuable strength when it comes to building a successful business. Employee mentoring and continuous learning are an essential component of an effective engagement and retention strategy. Every leader of people understands that appreciating employees is motivating to any member of the team.  And while they have a fantastic effect on morale, we sometimes overlook the forgotten few – our support team.

Our research and observation in working with many organizations was that most company initiatives, training and incentives were not adequately focused enough on support staff, the people that sometimes go unnoticed.   Support staff are the clockmakers of the company, constantly keeping procedures and processes ticking over, never stopping. They work tirelessly to strive for company excellence but not always seen as a front line employee. They are the hidden heroes behind an organization’s ongoing success.

What people are longing for more and more is a sense of ownership and belonging in their workplace, the need for more feedback and growth on their personal development.

So we wanted to create something new to the market, an incentive for support; that had teeth in it, something that would continually impel progress from within.  The GLLS Competency Framework – the only framework of this kind, is designed to promote and champion the highest standards of professional competence on the part of top employees, and aspiring leaders of companies and other organisations.  Our customised and powerful program is built like a jigsaw, each piece designed to connect each distinct skillset at a time, assisting employee growth and development 365 days a year

TiQ was built from the heart, with a passion for future learning and personal growth.  We don’t just envision progress and excellence. We commit to it.

Remember you grow a company by growing people. "
Vietnam24h,https://e27.co/startups/vietnam24h/,http://dichvubaove.info/,Vietnam,Defense & Military,,,,https://www.facebook.com/Dichvubaove.info,startups@e27.co,,Vietnam24h provide Trusted Security Protection,Vietnam24h provide Trusted Security Protection
Caspian Technology,https://e27.co/startups/caspian-technology/,http://www.caspian.my/,Malaysia,Internet of Things,,,,https://www.facebook.com/CaspianTechnology,startups@e27.co,,"Caspian Technology is an independent software application development agency, building mobile apps and web applications in Malaysia.","They're an independent software application development agency, building mobile apps and web applications in Malaysia. With more than 17 years of experience in the field of Web development and consultancy, 6 years of Apple Macintosh platform and 3 years of iOS mobile expertise, they first started with projects related to the Web covering areas such as Creative Web Design, Web Multimedia Development and later specialising in mobile Apps development and training.

Currently they are aggressively training iOS Development to Developers all over Malaysia. Their next targeted platforms will be Android, Blackberry and Windows.

They also provide professional animation, advertising and event management services with experienced personnel and portfolios."
Dattar Solutions Pvt ltd,https://e27.co/startups/dattar-solutions-pvt-ltd/,https://www.dot2dotz.com/,India,Logistics/Supply Chain,2016-06-01,,,"https://www.linkedin.com/company/30912037/admin/, https://twitter.com/Dot2dotz1, https://www.facebook.com/profile.php?id=100037035300977",,,"Dot2dotz is a truck booking App, seamlessly connecting shippers with fleet owners and truck drivers. We provide trucks for hire for any individual or company throughout Delhi NCR with our app.","M/S Dattar Solutions (P) Ltd was incorporated in Mid-2016 with the main objective to organize the unorganized sector of logistics and transportation of goods.
The entrepreneurial spirit of the founder and the current management team combined with the innovative use of technology produced a new app-based product Dot2dotz in 2016.
Dot2dotz is a truck booking App, seamlessly connecting shippers with fleet owners and truck drivers. We provide trucks for hire for any individual or company throughout Delhi NCR with our app. At one end we have shippers looking for an easy solution to ship goods and at other ends, we have fleet owners looking for more trips and hassle-free booking management solutions.
We are an app-based transportation (of goods) services providing company whose major serving areas are New Delhi, Noida, Ghaziabad, Faridabad, Gurgaon, Sonipat, Bahadurgarh, and many more to come.
With the help of our app, we provide world-class support from the beginning to the end.
We strongly believe in technology and innovation in order to serve all customers' needs, wants, real-time tracking of freight, the security of freight, customized reporting, and real-time alerts.
We at Dattar Solutions Pvt Ltd are committed to making it easier for many of truck drivers to book a load of all the size from one place to another and the customer to hire a truck, at the right time, at the right price and with a single click of a button."
Cerruti Contract,https://e27.co/startups/cerruti-contract/,http://www.cerruticontract.com/en/,Italy,,,,,"https://twitter.com/ContractCerruti, https://www.facebook.com/cerruticontract/",design@ilpiccolo.com,,Cerruti Contract – High End Interior Design & Construction Company,"Cerruti Contract is an Interior Construction Company with a highly professional craftsman to provide high quality furniture and design to offer you the elements for a beautiful and comfortable work or living space. Visit their website http://www.cerruticontract.com/en/ for better information. 

Contact:-

Cerruti Contract
Via Torino, 21
20084 Varedo (MI) - Italy 
+39 0362 544251
design@ilpiccolo.com
http://www.cerruticontract.com/en/"
RoundUp Analytics,https://e27.co/startups/roundupanalytics/,http://www.roundupstats.com,Singapore,"Enterprise Solution, Big Data, Advertising",2018-03-01,Zhi Xiang Tay,,"https://www.linkedin.com/company/roundupanalytics/, https://twitter.com/RoundUpAnalytic, https://www.facebook.com/RoundUpAnalytics",hello@roundupstats.com,,"RoundUp Analytics is a cloud-based data analytics and reporting tool, which consolidates data from both digital and offline sources onto a single dashboard, designed for startups and brand owners",
BigFday,https://e27.co/startups/bigfday/,https://bigfday.com,India,Internet of Things,,,,https://www.facebook.com/yourBigfday/,rekha@bigfday.com,,An online platform for hassle-free event planning.,
NutriCellix,https://e27.co/startups/nutricellix/,https://nutricellix.com,United States of America,,2019-08-01,,,"https://linkedin.com/company/nutricellix, https://twitter.com/nutricellix, https://facebook.com/nutricellix",,,"Custom weight-managment solutions powered by your DNA, and a direct-to-consumer e-commerce business model that allows you to sell directly to customers online.","Are you tired of all the generic weight-management products, systems and diet plans that don't factor in your personal body type and unique genetic make-up? Most products are designed to be ""one-type-fits-all"", yet the way that people burn fat, store fat and metabolize fat differs quite a bit from person to person. 

NutriCellix has the answer. Introducing the world's first complete weight-management supplement system that is uniquely formulated in-lab specifically for you. Through a simple DNA-swap test, NutriCellix analyzes your individual chromosomes, especially the ones that direct impact how you metabolize fat. We then create a custom AM & PM supplement product optimized for your body. It is a revolutionary breakthrough that is backed by peer-reviews and clinical science. 

NutriCellix has the exclusive right to product this first-to-market proprietary system -- it is a true game changer. 

Not only that, but our unique e-commerce platform allows anyone to promote our products with a powerful online toolset, and get rewarded through our direct-to-consumer business model. You already share a good thing when you find it, so why shouldn't you get rewarded to share NutriCellix? We take care of all the inventory, shipping, customer service and website hosting. All you have to do is promote!

To learn more about the NutriCellix products, science, company and e-commerce system, visit https://nutricellix.com for Corporate info and read the initial press release at http://www.digitaljournal.com/pr/4613320"
Unicorn Factory,https://e27.co/startups/unicorn-factory/,http://unicornfactory.sg/,Singapore,,,,,,joyce@unicornfactory.sg,,"Unicorn Factory is Singapore’s first community dedicated exclusively to the aspirations of ambitious, upwardly-mobile people.",
Binary Informatics Software Company,https://e27.co/startups/binary-informatics-software-company/,http://binaryinformatics.com/,United States of America,,,,,,info@binaryinformatics.com,,"Binary Informatics is a leading Technology and Digital Product Service company headquartered in Noida, India an office in San Francisco.

Binary Informatics provides full life-cycle product development ",
Le Lapin Sandwiches,https://e27.co/startups/le-lapin-sandwiches/,http://www.lelapinbangkok.com,Thailand,"Consumer, E-commerce, Food & Beverage, Information & Communications Technology",2010-12-01,,,"https://www.linkedin.com/company/le-lapin-sandwich-delivery, https://twitter.com/lelapinbangkok, https://www.facebook.com/LeLapinSandwichDelivery",larisa@lelapinbangkok.com,,"Le Lapin Sandwiches is aiming to deliver gourmet, fresh, house made sandwiches and meals to as many people as possible in the fastest time possible. Le Lapin is about hearty tasty food and convenience","Le Lapin Sandwich Delivery is contributing to the local community by delivering high quality and fresh products to their customers.

They are specialized in producing fresh sandwiches, salads and desserts and delivering them to offices and homes. All their products are done on order and delivered to every and each customer in the fastest time possible. They focus on fresh, organic, house-made and gourmet ingredients: marinated and roast halal chicken breast, prosciutto, paris ham, emmental cheese, rib eye for our steak sandwiches. The breads are manufactured following the French, traditional recipes.

Le Lapin Sandwich Delivery is focusing on delivering quality and convenience to its customers. They started with the idea to bring new lunch solutions on the market. The sandwiches, the classic lunch food, was the food to go for! They have completed their offer with sides, salads and desserts!

For the last 4 years they have been testing and perfecting the concept and now they can say that they are moving into the right way. The model is sustainable and now they are thinking about scaling it. 

People need them and their services, they are a problem solving company, they know how to delivery high quality food in a hectic city like Bangkok.

Their main goal is to help their customers to eat healthy and tasty food, save their precious time, focus on their daily jobs, avoid the stressful and heavy traffic and ultimately bring convenience and comfort in their lives
"
Kalixa,https://e27.co/startups/kalixa/,https://www.kalixa.com/,United Kingdom,"Finance, Mobile",,,,https://www.linkedin.com/company/kalixa-payments-group,startups@e27.co,,"Kalixa has evolved into a fast-growing end-to-end provider of payment services to third-party merchants, consumers and corporate customers across Europe.","Starting as the internal payment department of bwin fifteen years ago, Kalixa has evolved into a fast-growing end-to-end provider of payment services to third-party merchants, consumers and corporate customers across Europe."
KewMann ,https://e27.co/startups/kewmann/,http://www.kewmann.com,Singapore,"Enterprise Solution, Big Data",2014-09-01,,,"https://www.linkedin.com/company-beta/4843656/, https://www.facebook.com/kewmann/",kyl@kewmann.com,,We helps organizations to predict and influence human behaviors using data and behavioral science,We helps organizations to predict and influence human behaviors using data and behavioral science
Y Group Asia PTE Ltd,https://e27.co/startups/y-group-asia-pte-ltd/,http://www.ygroup.asia,Singapore,,,Boye Hartmann,,https://www.linkedin.com/company/y-group-asia-pte-ltd,boye@ygroup.asia,,Digitizing South East Asia,
RentAll,https://e27.co/startups/rentall/,http://rentall.id,Indonesia,"Advertising, Consumer, E-commerce",2016-04-01,,,"https://www.linkedin.com/company/rentall-marketplace-indonesia, https://twitter.com/RentAllSystem, http://www.facebook.com/RentAllSystem",ask@rentall.id,,Online billing system and marketplace platform for rental business. Check our pitch: http://s.id/rentallpitch,"RentAll is a billing system and marketplace platform for rental provider that help everyone to earn money by offering their unused goods to be rented or to find any goods that they need temporarily. Our vision is to be an empowering ecosystem for rental industries, that make them adaptable to the growth of technology.

We believe this can be achieved by,
1. Opening a chance for everyone to start their own rental business to capitalize their unproductive assets;
2. Providing alternative way for people to use a goods in short period, without buying;
3. Creating a trusted business environment either for the renters, or the assets owners;

Our Features:
- Timer and Billing System.
- User Identity Validator.
- Bigger market networks (than specific niche-based marketplaces).
- User friendly interface.
- Online and Offline Service Integration.

With the features within, people with unproductive assets can offer their goods securely to the people who need them. We also provide the offline outlet to help people easily access the service in public area, even when their cellphone is inactive.

Compared with similar initiatives, we put our focus more in improvement in transaction process than networks growth, since that is the main problem for rental business digital migration. That's why the first feature that we will introduce to the market is our redeveloped 'warnet-like' mobile billing system. We believe this will solve the main problem of the industry, in how to track usage duration and the cost resulted from It.

We want to help people, especially in developing country to earn more for their living, simply with everything they have with sharing economy principles. In the other hands, we also give an alternative for anyone who need certain goods for limited period of time to fulfill their needs with cheaper cost. We hope this system will be multiplicable internationally, so the people worldwide can feel the benefit of our platform.

Pitch: http://s.id/rentallpitch"
CariPerumahan,https://e27.co/startups/cariperumahan/,http://cariperumahan.com/,Indonesia,Real Estate,,,,"https://twitter.com/cperumahan, https://facebook.com/cperumahan",startups@e27.co,,Housing Exhibition Online.,Housing Exhibition Online.
CetroID,https://e27.co/startups/cetroid/,http://cetroid.com/,Indonesia,,,,,"https://www.linkedin.com/company/cetroid, https://twitter.com/CetroID, https://www.facebook.com/cetroid",startups@e27.co,,"CetroID provides Software House, Hardware Consultant & IT  Web Management.","CetroID provides Software House, Hardware Consultant & IT  Web Management."
EventBanget,https://e27.co/startups/eventbanget/,http://eventbanget.com/,Indonesia,Media,,,,"https://www.linkedin.com/company/eventbanget, https://twitter.com/eventbanget",startups@e27.co,,The event showcase and journal media for Indonesian! Eventbanget is composed by many people. These people are chosen appropriately.,"Eventbanget is composed by many people. These people are chosen appropriately. They select the team by their own interest and skill. Everyone in the team has their own traits, and we develop it to be an achievement. Honestly, they are trying to make their team to be specialist. Not a generalist. And because of that, they want you to know yourself better than everyone does here.

Eventbanget is consisted by young people started from 18-23 years old from many universities. By that reason, they are trying to recognize what young people need. They push themselves to be creative more than other people do. They learn how people create things. They sometimes make a group discussion to discuss new things in order to sustain their program for Eventbanget. Moreover, they tend to try to tackle each other in arguments. They always create new cultures in their team to make it better everyday."
Estmob,https://e27.co/startups/estmob/,http://send-anywhere.com/,South Korea,"Mobile, Software as a Service, Information & Communications Technology",2012-07-01,,,"http://www.linkedin.com/company/estmob, https://twitter.com/Send_Anywhere, http://www.facebook.com/pages/Send-Anywhere/286391678148608",hey@estmob.com,,"Estmob Inc. is a startup company based out of Seoul, South Korea and the creators behind Send Anywhere.","Estmob Inc. is a startup company based out of Seoul, South Korea and the creators behind Send Anywhere. They're just a few engineers and business people who wanted to revolutionize the way they transfer data.

 As for Send Anywhere, a platform agnostic file sharing service which allows users to easily share digital content peer-to-peer, in real-time, without cloud storage. They find the optimal transfer path between devices given network conditions be it through p2p or an optimal relay server.

Founded in 2012 by Yoonsik Oh, Kyeongho Lee, Haeil Park, and Suhyuk Kang, to help people using multiple devices in innovative ways."
Weeby.co,https://e27.co/startups/weeby-co/,http://www.weeby.co/,United States of America,"Design , Gaming, Mobile, Software as a Service, Information & Communications Technology",,,,"https://www.linkedin.com/company/weeby-co, https://twitter.com/weebyco, https://www.facebook.com/weebyco",info@weeby.co,,"They connect people in games on phones. They create game engines, games, servers, graph data / matching algorithms, and developer & artist tools. ","Weeby.co technology provides design and implementation for the game flow, UI, monetization, server, and social mechanics to build a beautiful and engaging leaderboard, turn-based or progression map game. You provide a fun high-score game, and our technology turns it into the next Candy Crush, Diamond Dash, Words with Friends, etc.

They make sure you have access to the network your players love best. Pick and choose from the top messenger apps, such as Facebook Connect, Line, Kakao, Tango and Kik. Weeby.co is the best way to use your players' favorite social graph to drive engagement with leaderboards, invites, gifting and challenges.

Weeby.co is a spin-off of Game Closure, its parent company, and located in the heart of downtown Mountain View, California. To date, they have raised $12M from investors like Highland, Matt Ocko, Joi Ito and others. Weeby.co is made up of 20 of the most talented people in technology and gaming, who work seamlessly together to make beautiful, high quality social games. Their mission is to transform games so that they're social and engaging, and possible for you to play with your friends wherever you are. "
Frrole,https://e27.co/startups/frrole/,http://frrole.com/,India,"Big Data, Media, Platform, Software as a Service",,,,"http://www.linkedin.com/company/frrole, https://twitter.com/frrole, http://www.facebook.com/frrole",contact@frrole.com,,"Frrole helps media and brands discover, filter, and integrate the most insightful and relevant information from Twitter conversations. ","Frrole helps media and brands discover, filter and integrate the most insightful and relevant information from Twitter conversations.

It is a bigdata social news portal that enables media to integrate social content and insights into applications; agencies to create immersive new experiences for clients; and brands to execute social campaigns and involve audience.

Frrole's Social Intelligence Platform currently analyzes more than half a billion data units every month, using the derived insights to create solutions for brands, media and entertainment verticals. They take pride in our ability to answer fuzzy questions, when almost all traditional data analytics stops at providing statistical and keyword based answers.

Their goal is to understand social web as deeply as possible and use it to generate monetizable value for their clients, in every possible way. They place customer centricity at the forefront of our work ethics and all their products are built keeping their end-use in mind. They are highly selective in their hiring, since the only thing that they care for more than skill-set is the value-system their people bring with them.

Frrole offers data APIs, curated content, rich media streams, sentiment pipes, and comparative data; and Visual suite, a collection of display units that provide social streams, galleries, polls, trends, rankings, and trends to bring the power of curated social content to applications. It serves digital and TV media, entertainment, publisher, and consumer markets.

Frrole was formerly known as Ciafo Techware Private Limited and changed its name to Frrole in January 2014. The company was incorporated in 2010 and is based in Bengaluru, India."
MyProGuide,https://e27.co/startups/myproguide/,https://www.myproguide.com/,Singapore,"Transportation, Travel",,,,,startups@e27.sg,,"MyProGuide is a professional tour guide center, connecting travelers and tour guides all around the world. You can find knowledgeable tour guides, customize private tours, or join group tours","MyProGuide is a professional tour guide center, connecting travelers and tour guides all around the world. You can find knowledgeable tour guides, customize private tours, or join group tours on the MyProGuide website. The benefits are that they have tour guides speaking multiple languages, and you can look through tour guide’s introduction profiles before you go."
UpSkill Private Limited,https://e27.co/startups/upskill-private-limited/,http://www.upskill.pk,Pakistan,,,,,"https://www.linkedin.com/company/upskill-limited, https://www.facebook.com/UpSkillOfficial/",abdulbasit@upskill.pk,,UpSkill is Pakistan's MOOCs platform where universities and professional institutions can upload their courses and training online. Users will be engaged through gamification concept,
Pest Control Bangalore - 100% Effective & Safe Pest Control Services,https://e27.co/startups/pest-control-bangalore/,https://pestcontrolbangalore.in,India,"Architecture & Construction, Consulting",2014-09-01,,,"https://www.linkedin.com/company/pest-control-bangalore-in, https://twitter.com/pestcontrolbng, https://www.facebook.com/pestcontrolbangalore.in",info@pestcontrolbangalore.in,,"We provide specialist pest control in Bangalore. Throughout the 10+ years experience, we have to deal with Bangalore pest infestations, we have gained industry-leading expertise – giving us the abilit","Pest Control Bangalore - Keeping the City Clean From Bugs 
we’ve been improving our strong reputation for professional pest control service in Bangalore.
Our professional pest control technicians rid domestic and commercial properties in the Bangalore City of pest problems every day to make the Capital a cleaner and more hygienic place.
Image - 
Below are just some of the common problems caused by pests in Bangalore:
•	Cockroach 
•	Bed bugs 
•	Ants, termite, rodent, fly etc. 
With over years’ experience serving Bangalore and nearby surrounding Bangalore, there isn't a pest control problem we haven't dealt with before.
Dealing with Pest Infestations 
If you discover a pest infestation in your house or business place, whether it’s a bed bugs cockroach, wasp nest, ants, or rats, your first reaction may be to try and deal with it yourself. However, this can be dangerous, and we would strongly advise leaving it to our professional technicians who have the relevant experience and know what pest control products to use.
Here are just some of the reasons homeowners and businesses use us for their Bangalore pest control needs:
•	Quick response on pest control service advice 
•	All Over Bangalore we provide pest control service in city
•	Professional treatment at best pricing structure
We’ve also worked in all types of property in Bangalore from new-build, apartment, and offices, so know where infestations are likely to be located.
Read some of our testimonials from happy pest control customers in Bangalore.

contact us
Pest Control Bangalore .In
#161-B, Ground Floor, Channasandra Main Road, Whitefield, Opp MVJ College of Engg, Bengaluru, Karnataka 560067
 +91-9742822712
 9:00 – 20:00 (Mon – Sun)
https://pestcontrolbangalore.in
 info@pestcontrolbangalore.in"
TeraPower Technology. Inc.,https://e27.co/startups/terapower-technology-inc/,http://www.terapower.com.tw/TPWweb/Default.aspx,Taiwan,"Enterprise Solution, Hardware",,,,https://www.linkedin.com/company/terapower-technology-inc-,startups@e27.co,,"TPW service cover Memory/Logic Chip probing, logic final testing ,CIS and driver service.","TPW service cover Memory/Logic Chip probing, logic final testing ,CIS and driver service.

TPW (TeraPower Technology Inc.) is a newly build-up chip probing company started from Sep. 2008, shareholders consist of Japanese professional chip probing company Tera Probe, Inc. and Taiwanese No.1 memory IC back-end services company PTI (Powertech Technology Inc.). TPW service cover Memory/Logic Chip probing, logic final testing ,CIS and driver service.

TPW was funded with capital NT 870 Millions and located in Hsinchu Industry Park by the strategic engagement with customers and vendors. TPW will create great benefit and have commitment to the well-being of our customers, employees, vendors, and shareholders."
Quintillion Media,https://e27.co/startups/quintillion-media/,http://www.thequint.com/,India,"Education, Media, Mobile, Information & Communications Technology",,,,"https://www.linkedin.com/company/10230590?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10230590%2Cidx%3A2-1-2%2CtarId%3A1447241507889%2Ctas%3Athe%20quint, https://twitter.com/TheQuint?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor, https://www.facebook.com/quintillion",startups@e27.co ,,"The Quint is media with intelligence. The Quint is media for mobile consumption – quickly, visually and socially.","The Quint is media with intelligence. The Quint is media for mobile consumption – quickly, visually and socially. The Quint is popular, digital journalism. It is a smooth blend of video, audio and text for the best and easiest experience. The Quint is hard news made easy. The Quint offers a modern, sharp take on the world, and guides people through topics ranging from politics, policy and entertainment, to sports, business, food and everything else that matters. A compelling combo of content, tech and distribution, we're developing high-value digital journalism, storytelling, and advertising at scale."
Daung Capital,https://e27.co/startups/daung-capital/,https://www.daungcapital.com/,Burma,,,Leon Qiu,,,startups@e27.sg,,"Daung Capital™ believes that with proper access to credit, the people of Myanmar can move their economy from frontier to front runner.","Daung Capital™ believes that with proper access to credit, the people of Myanmar can move their economy from frontier to front runner.

Coupled with reasonable interest rates, Myanmar’s working class can cope better in a crisis, develop self-employed businesses and enhance income earning capacity to gradually build up assets.

We believe that only though persistent technological innovation and strict adherence to operational excellence can our services be made accessible and affordable to all.

No company is complete without a Vision. Daung Capital™ takes full ownership of the Vision it has set for itself and the mission of a for-profit but socially responsible entity.

VISION
Financially empowering Myanmar’s working class to realize a better future.

MISSION
We finance the working people of Myanmar

We make our services highly accessible and incredibly affordable through technological innovation and operational excellence

We are invested in the well-being of our employees and the communities we serve

We deliver a long-term shareholder value in a socially responsible manner

COMPANY VALUES
Stay Customer Centric
Always be Accountable
Continuous Learning
Respect for all"
Yahoo Support Toll Free Helpline Number,https://e27.co/startups/yahoo-support-toll-free-helpline-number/,http://yahoosupportcontactnumber.weebly.com,United Arab Emirates,,,,,,wts.adele@gmail.com,,"
If you want however the yahoo customer service helpline number can be opted for as the fastest possible solution there is to any trouble that you are facing. 
Read More: http://yahoosupportcontactnum",
sellncash,https://e27.co/startups/sellncash/,https://www.sellncash.com/,India,,,,,,support@sellncash.com,,"Sell n Cash offers a complete solution to customers who want to sell their used phone, get instant cash and have a hassle-free experience during the entire process.  ",
PIPO Pte. Ltd.,https://e27.co/startups/pipo-pte-ltd/,http://www.pipo.sg,Singapore,,2017-11-01,,,https://www.linkedin.com/company/pipoconnect/,hr@baohetech.com,,"PIPO aims to be a new global professional networking platform by building professional credit system, by rewarding users with virtual currencies for providing up-to-date detailed career experiences an","PIPO is a Singapore Startup company focusing on building a brand new professional social network for young professionals as well as students with true and meaningful interactions where they gain a supportive community and vastly wider growth and job opportunities.

In our PIPO community, we believe that everyone deserves to have the best platform to market themselves, gain better opportunities and networks for their career endeavors. At PIPO, we embrace diversity and leadership qualities, and we are constantly looking for talents to join our growing family.
"
Asteroid,https://e27.co/startups/asteroid/,http://getasteroid.com/,Singapore,"Advertising, Consumer, Mobile",2014-01-01,,,"https://www.linkedin.com/company/asteroid-pte-ltd-, https://twitter.com/GetAsteroid, https://www.facebook.com/getasteroid",info@getasteroid.com,,"Asteroid wants to give people the right discounts at the right time, using the new powerful iBeacon technology together with their very own Asteroid app","They have created Asteroid to make your apps context aware. Asteroid allows your apps to send relevant messages to your users through iBeacons.

They use technology to create amazing experiences that connect people to brands through their smartphone.

They are a Sweden, Singapore and Turkey based agency specialized in developing iBeacons solution for other companies. They are a team of 10 developers, designers and advisors all passionate about brand experiences through the smartphone. "
"Bizworks Co.,Ltd",https://e27.co/startups/bizworks-co-ltd/,http://www.bizworks.co.kr,South Korea,"Finance, Mobile",,,,https://www.facebook.com/Bizworks-Co-Ltd-323055988135621/,contact@bizworks.co.kr,,Bizworks provide mobile based order & payment service called ‘GT Pay that enables customers to make an order and payment with  mobile app at restaurant in non-face to face method.,"GT Pay provides benefit to customers by removing major inconvenience that can be happened in franchise restaurant such as waiting in long line for making an order and payment in busy hours. Furthermore by enabling it to interwork with POS (Point Of Sale) system through Screen OCR engine that controls POS SW with 100% recognition rate, no additional training or cost would be required for employees at restaurants in implementing this new payment system. 
The most relevant market that our business could engage in could be all the franchise restaurant where self-order is mandatory, because huge amount of waiting time in franchise restaurant becomes big issue to solve in Korean society. At this point, customers’ necessity for non-face to face order and payment system is increasing. 
Since the development of  GT Pay has been already completed, we have recently gained great attention from many Van service companies in Korea, because our product, GT Pay is the first mobile based order and payment solution that enables interworking with POS (Point Of Sale) system by controlling software. And this has given us a chance to sign a contract with one of the major Van service company in Korea that has provided Van service for almost 60% of all the restaurants in Korea. 
Under the contract, our product would be allowed to be installed and implemented in 1,000 restaurants in Korea as a pilot project. 
Our profit would be made from 0.2% commission of all the payment done by GT pay. As the average annual revenue of each franchise restaurant is 24,000 USD, it would be great chance for us, if our service can be expanded to more than 10,000 restaurants.
Our goal is to increase the number of restaurant as 10,000 restaurants of those where the Van service company has provided their service within a year and next five years, GT Pay will be implemented in all the restaurants working with the van company by maintaining customer satisfaction."
PrasaStudio,https://e27.co/startups/prasastudio/,http://prasastudio.com/,Indonesia,"Design , Information & Communications Technology",,,,"https://twitter.com/prasastudio, https://www.facebook.com/prasastudio",startups@e27.co,,"Prasastudio is a business working on design service industry. They serve your needs for design. Make your ideas come true with them, with their experienced designers and their best artworks.","Prasastudio is a business working on design service industry. They serve your needs for design. Make your ideas come true with them, with their experienced designers and their best artworks.

The rapid development of technology, indirectly, has affected every single aspect of life of people around the world, including business. The concept of shopping from home at online store has now been chosen by many people. To be late in adopting technology means to be marginalized, losing customers, or even to be kicked out from the industry. On the other hand, the emergence of the free trade policies makes the competition harsher.

In any given situation, every company needs to communicate their business to their target market to achieve the sales target they have set. Unfortunately, many companies fail to communicate their business, even though the concept they bore was brilliant. At the same time, the development of technology makes the competition in every industry gets harder. This condition tempts many companies to use dirty tricks to win the competition even though they do not only violate the law, but also contrary to the ethical norms and injure another company.

PrasaStudio comes to provide solutions for companies in communicating their business so that they will able to keep survive in the middle of this harsh competition.
"
Coporter,https://e27.co/startups/coporter/,http://www.coporter.com/,Australia,Media,,,,https://twitter.com/coporterapp,startups@e27.co,,Coporter is a cloud-based system for managing your contacts and stories across multiple platforms from anywhere in the world.,Coporter is a cloud-based system for managing your contacts and stories across multiple platforms from anywhere in the world.
Qboys,https://e27.co/startups/qboys/,https://play.google.com/store/apps/details?id=qboys.com.qboy,Switzerland,,2018-01-01,,,"https://twitter.com/Qboys_app, https://www.facebook.com/qboys.net/",marketing.qboys@gmail.com,,Qboys is a online gay chatting & dating app that allows gay and bisexual boys & men to find and contact other guys & men in their immediate area.,"Qboys is a gay video chatting & dating app available for specific countries such as Switzerland, Germany, Austria, France, Italy, UK and many more countries, that allows gay and bisexual boys & men to find and contact other guys & men in their immediate area. Meet, make friends, share and share Stories with friends, send voice messages and video's, create a photo album, create a protected and private profile, make phone calls or face-time and much more. "
